CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
chr1:31373138,0.0318,0.0361,0.0526,0.0378,0.0945,0.0303,0.0645,0.0667,0.0538,0.3218,0.1492,0.307425,0.3274,0.5601,0.0363,0.5604,0.0508,0.1054,0.0834,0.0963,0.1218,0.1434,0.3046,0.1167,0.0872
chr1:31373076,0.0746,0.11800000000000001,0.2517,0.1327,0.2983,0.1077,0.0908,0.0746,0.0953,0.6268,0.4128,0.578425,0.5928,0.7,0.1092,0.7803,0.0745,0.4747,0.245,0.2765,0.2223,0.4489,0.5803,0.345,0.1835
chr13:27979413,0.0834,0.1552,0.10800000000000001,0.0957,0.142,0.0676,0.0503,0.0796,0.1016,0.0931,0.1046,0.3961,0.2293,0.5846,0.0764,0.0628,0.0626,0.0783,0.0985,0.09,0.0771,0.1126,0.0774,0.0949,0.0819
chr15:52795402,0.0328,0.0551,0.0432,0.0338,0.0581,0.0312,0.0256,0.0195,0.0939,0.7521,0.0361,0.890275,0.9005,0.9211,0.0412,0.6932,0.0198,0.0231,0.077,0.0469,0.0321,0.0601,0.0334,0.1097,0.0291
chr10:99234069,0.0052,0.0044,0.0055,0.0065,0.0074,0.006,0.0357,0.0418,0.0503,0.0261,0.0432,0.6098,0.4348,0.4805,0.0051,0.1167,0.0548,0.0877,0.07400000000000001,0.0811,0.0488,0.17600000000000002,0.051,0.068,0.121
chr17:38572612,0.0096,0.0116,0.0107,0.0105,0.0097,0.0088,0.004,0.0011,0.0182,0.2135,0.0134,0.0203,0.0266,0.12,0.0164,0.0207,0.0444,0.0092,0.0509,0.0104,0.0071,0.0024,0.0057,0.0138,0.0062
chr11:65225605,0.0222,0.0323,0.0825,0.3618,0.0874,0.0244,0.0072,0.0253,0.4536,0.0373,0.1617,0.2589,0.1535,0.5823,0.034,0.3578,0.0289,0.02,0.0685,0.0737,0.0232,0.09300000000000001,0.1238,0.0669,0.0672
chr15:52803838,0.023,0.0588,0.0251,0.0199,0.0361,0.0145,0.0068,0.0427,0.155,0.0086,0.1218,0.473275,0.0946,0.4449,0.0436,0.0173,0.0362,0.106,0.1161,0.0871,0.1073,0.1666,0.1058,0.0586,0.1118
chr5:134115546,0.0106,0.0112,0.0061,0.0072,0.0055,0.0084,0.0027,0.0112,0.1338,0.0592,0.0166,0.128175,0.059000000000000004,0.2297,0.0426,0.0157,0.0739,0.0304,0.0208,0.0504,0.0435,0.0334,0.0367,0.025,0.0489
chr5:134115549,0.0126,0.0176,0.0151,0.0098,0.0116,0.0109,0.0095,0.0159,0.17800000000000002,0.0492,0.018000000000000002,0.1586,0.047,0.2293,0.0532,0.0241,0.1082,0.0385,0.0238,0.046,0.0458,0.0327,0.0522,0.0277,0.0499
chr5:134115568,0.2641,0.2759,0.2394,0.2332,0.2328,0.2588,0.2142,0.256,0.4622,0.32299999999999995,0.2148,0.40355,0.3033,0.4775,0.3144,0.23,0.392,0.2324,0.1588,0.2033,0.2372,0.1907,0.3058,0.1821,0.2925
chr5:134115552,0.0746,0.0781,0.0649,0.0611,0.0664,0.0672,0.0502,0.0753,0.1946,0.1099,0.0697,0.216125,0.1013,0.231,0.1285,0.0667,0.1484,0.0852,0.0979,0.1302,0.1059,0.1176,0.1257,0.0798,0.1414
chr10:75408422,0.0052,0.0195,0.0162,0.0074,0.0186,0.0053,0.0082,0.0028,0.0643,0.5832,0.0234,0.349375,0.1027,0.6197,0.0235,0.7213,0.0794,0.2284,0.0194,0.0342,0.0357,0.0296,0.4211,0.0276,0.0274
chr20:51542621,0.0044,0.0062,0.0074,0.0061,0.0052,0.006999999999999999,0.0025,0.0793,0.0069,0.0085,0.0068,0.00645,0.0041,0.0022,0.3009,0.0126,0.0478,0.0682,0.1749,0.0562,0.0081,0.0106,0.0163,0.0296,0.054000000000000006
chr9:130433501,0.0156,0.063,0.0268,0.0163,0.0223,0.0158,0.0075,0.1622,0.0178,0.0098,0.0408,0.005525,0.0345,0.0337,0.371,0.0363,0.12300000000000001,0.0169,0.084,0.0527,0.0137,0.0105,0.0373,0.0404,0.0322
chr4:76898381,0.0123,0.0303,0.0155,0.0121,0.0186,0.0154,0.016,0.0379,0.2648,0.0185,0.0149,0.0154,0.0256,0.0142,0.3842,0.0299,0.1263,0.0292,0.0362,0.0524,0.0331,0.0305,0.0128,0.0709,0.0749
chr4:76898421,0.0469,0.059000000000000004,0.043,0.0462,0.0529,0.0433,0.026000000000000002,0.0883,0.223,0.0396,0.0449,0.063975,0.0467,0.037000000000000005,0.2841,0.0316,0.1352,0.0716,0.0883,0.0937,0.0669,0.0715,0.0614,0.0895,0.1114
chr7:141015119,0.0134,0.0227,0.0145,0.0101,0.0135,0.0132,0.0049,0.0246,0.0223,0.0152,0.0281,0.0087,0.017,0.0091,0.2064,0.0195,0.0165,0.0263,0.0539,0.1132,0.0533,0.0162,0.0341,0.0267,0.0468
chr10:78407245,0.0465,0.0601,0.0648,0.0687,0.1172,0.0545,0.0334,0.1106,0.036000000000000004,0.0886,0.0225,0.014975,0.2687,0.0419,0.4477,0.0324,0.0176,0.0316,0.0459,0.0533,0.0381,0.047,0.0221,0.0278,0.0291
chr2:135985890,0.0012,0.0051,0.0041,0.0034,0.0027,0.0028,0.0058,0.0427,0.0506,0.0669,0.0268,0.034675,0.0121,0.0348,0.4345,0.2798,0.133,0.1166,0.0209,0.105,0.2117,0.0637,0.0994,0.1105,0.1591
chr6:44313451,0.0177,0.0546,0.0294,0.016,0.019,0.0165,0.0037,0.0179,0.0444,0.0108,0.035,0.0848,0.0386,0.0281,0.3258,0.0329,0.0207,0.0859,0.0695,0.0792,0.1271,0.0781,0.203,0.0531,0.1019
chr6:44313447,0.0299,0.0688,0.0464,0.0355,0.0394,0.0326,0.0251,0.062,0.0549,0.0454,0.0446,0.120325,0.051,0.0504,0.2972,0.0436,0.0706,0.1044,0.0845,0.0875,0.1211,0.0876,0.1989,0.0749,0.1247
chr6:44313460,0.0859,0.1888,0.1123,0.0772,0.0999,0.0754,0.0602,0.1119,0.1141,0.0697,0.1526,0.17555,0.0919,0.1014,0.3151,0.0754,0.1074,0.1808,0.1627,0.1918,0.1882,0.1885,0.2818,0.1428,0.2156
chr9:130433282,0.0316,0.0875,0.0366,0.0225,0.0349,0.0304,0.0089,0.2942,0.1087,0.0127,0.0622,0.022725,0.0705,0.0424,0.465,0.0295,0.2443,0.0668,0.1535,0.1448,0.051,0.0477,0.1184,0.0736,0.1021
chr17:42679991,0.003,0.0095,0.013999999999999999,0.006,0.0192,0.0048,0.0043,0.0198,0.11599999999999999,0.0338,0.0126,0.049625,0.0179,0.0206,0.1532,0.0023,0.0097,0.0237,0.0179,0.0405,0.0266,0.0209,0.1006,0.0215,0.0309
chr2:127416174,0.005,0.0079,0.0066,0.0077,0.0099,0.0072,0.0109,0.2305,0.1163,0.0278,0.0111,0.0322,0.0132,0.0138,0.3604,0.019,0.2428,0.0653,0.1219,0.1366,0.0805,0.0393,0.0664,0.0827,0.1622
chr1:16236694,0.0337,0.0348,0.0404,0.039,0.0398,0.0334,0.0245,0.1561,0.0543,0.0246,0.0265,0.031175,0.035,0.0299,0.2775,0.0234,0.1243,0.0522,0.0861,0.0524,0.0479,0.0316,0.0537,0.0511,0.0616
chr11:107928471,0.0115,0.0172,0.0197,0.0125,0.0158,0.0099,0.0054,0.0101,0.022000000000000002,0.0958,0.0273,0.01035,0.0159,0.0294,0.1577,0.0129,0.0115,0.0435,0.0353,0.0452,0.0583,0.0191,0.1086,0.0277,0.027999999999999997
chr7:16754453,0.0029,0.006999999999999999,0.027000000000000003,0.0063,0.0551,0.0028,0.0069,0.1619,0.0061,0.1281,0.0049,0.001675,0.0079,0.0084,0.18100000000000002,0.0078,0.0091,0.0098,0.1146,0.0094,0.0413,0.0196,0.0052,0.0369,0.1212
chr13:33016135,0.0121,0.0355,0.0196,0.0153,0.0145,0.0159,0.0047,0.0676,0.0572,0.0189,0.0156,0.012975,0.0156,0.0169,0.1645,0.0135,0.1236,0.027999999999999997,0.0277,0.0083,0.0262,0.0231,0.0385,0.0259,0.0929
chr12:53963746,0.0415,0.0576,0.0531,0.0302,0.0488,0.0364,0.0158,0.1438,0.0313,0.0461,0.0399,0.023675,0.0529,0.0407,0.3686,0.1008,0.0309,0.0743,0.145,0.0193,0.3589,0.0599,0.0142,0.0276,0.165
chr2:172462219,0.013000000000000001,0.0171,0.0151,0.0168,0.0172,0.021,0.0259,0.0945,0.2034,0.0458,0.0234,0.031075,0.0323,0.0445,0.2912,0.0224,0.0591,0.0947,0.0752,0.0503,0.0919,0.043,0.0361,0.0471,0.1947
chr9:124032551,0.0153,0.0357,0.0249,0.0178,0.0166,0.0196,0.043,0.0243,0.23800000000000002,0.0383,0.0268,0.039325,0.0311,0.0471,0.2198,0.0323,0.0592,0.0098,0.0354,0.0168,0.0421,0.1101,0.0268,0.026000000000000002,0.0217
chr12:53951428,0.0473,0.1258,0.073,0.0422,0.0997,0.0559,0.0186,0.1122,0.0352,0.0402,0.0846,0.043125,0.0753,0.0627,0.4272,0.3022,0.0288,0.1904,0.1171,0.0516,0.0514,0.1027,0.0355,0.0697,0.0839
chr7:143409037,0.0038,0.0038,0.0043,0.003,0.0051,0.0021,0.0013,0.0647,0.0835,0.0096,0.0069,0.0101,0.008,0.0024,0.1396,0.0006,0.1163,0.0366,0.1069,0.0214,0.0095,0.0229,0.0072,0.0216,0.0879
chr7:143409021,0.0576,0.0541,0.0519,0.0554,0.05,0.0499,0.0427,0.1063,0.1146,0.0622,0.0606,0.068075,0.0682,0.054000000000000006,0.1493,0.0687,0.1344,0.0981,0.1405,0.0781,0.0582,0.0761,0.0664,0.068,0.1322
chr7:143409033,0.0503,0.0602,0.0535,0.0568,0.0528,0.0485,0.0445,0.1523,0.1657,0.054000000000000006,0.0514,0.06655,0.0719,0.0559,0.2401,0.0556,0.2018,0.1357,0.21899999999999997,0.1019,0.065,0.092,0.0646,0.0947,0.1946
chr17:42019952,0.0216,0.133,0.0691,0.0388,0.0595,0.0162,0.0185,0.0606,0.0899,0.0319,0.0643,0.1063,0.0301,0.0619,0.2088,0.0084,0.0578,0.0952,0.0925,0.0753,0.0862,0.0935,0.1943,0.0654,0.1408
chr17:42019950,0.0076,0.0922,0.0373,0.011000000000000001,0.028999999999999998,0.0087,0.0063,0.0368,0.07200000000000001,0.0137,0.0421,0.073075,0.0187,0.0369,0.2682,0.0041,0.027999999999999997,0.0772,0.0629,0.0389,0.057999999999999996,0.0564,0.2573,0.0324,0.1305
chr9:133121544,0.0047,0.0035,0.0053,0.0084,0.0052,0.0029,0.0005,0.0357,0.0157,0.1595,0.0074,0.00886666666666667,0.0186,0.0113,0.1806,0.0068,0.0528,0.0494,0.0762,0.0156,0.0391,0.0559,0.0418,0.0135,0.1961
chr16:58501189,0.0039,0.0038,0.002,0.0031,0.0042,0.006,0.0097,0.1343,0.0109,0.0075,0.0224,0.024675,0.0987,0.0052,0.2502,0.0042,0.3347,0.1187,0.0529,0.0369,0.0236,0.1024,0.0503,0.0531,0.0486
chr16:86578845,0.0376,0.069,0.0549,0.0394,0.0628,0.0375,0.0242,0.0171,0.0457,0.0371,0.0537,0.027999999999999997,0.0421,0.0405,0.3004,0.3845,0.0598,0.0216,0.07200000000000001,0.0625,0.0474,0.0434,0.0441,0.0225,0.0486
chr20:32018113,0.0214,0.022000000000000002,0.0209,0.0289,0.0324,0.027999999999999997,0.0216,0.302,0.204,0.0181,0.0418,0.0124,0.0193,0.0122,0.4009,0.0084,0.2519,0.1235,0.107,0.0996,0.1136,0.0482,0.1029,0.0881,0.1389
chr20:32018065,0.0944,0.0721,0.1032,0.0926,0.1408,0.0848,0.0703,0.4763,0.3248,0.0343,0.078,0.017975,0.0237,0.0179,0.3913,0.0142,0.3797,0.2423,0.2447,0.2157,0.2512,0.1381,0.2365,0.1914,0.2586
chr20:51542997,0.0215,0.0236,0.0548,0.0221,0.0782,0.0192,0.0075,0.1106,0.3213,0.0484,0.0228,0.081125,0.0309,0.0396,0.3598,0.0143,0.059000000000000004,0.0919,0.2079,0.1308,0.0136,0.0282,0.0643,0.0606,0.1698
chr20:51542969,0.0633,0.057,0.0748,0.0568,0.0802,0.0593,0.0627,0.1724,0.2509,0.0775,0.0818,0.16365,0.0818,0.0651,0.2894,0.0579,0.0972,0.1375,0.2374,0.177,0.0736,0.0985,0.1131,0.1081,0.2074
chr12:53953075,0.0156,0.0886,0.0448,0.022000000000000002,0.0623,0.0192,0.0165,0.0227,0.0206,0.0156,0.0286,0.0251,0.0252,0.0308,0.1838,0.0519,0.0221,0.0538,0.0424,0.0249,0.0612,0.0402,0.0218,0.0572,0.0691
chr2:118850309,0.0252,0.1128,0.0322,0.0231,0.0337,0.0207,0.0153,0.415,0.0431,0.0217,0.023,0.0242,0.0174,0.0306,0.3398,0.1667,0.0274,0.0764,0.3397,0.0397,0.0143,0.0544,0.0181,0.0324,0.0348
chr5:123088364,0.0169,0.0318,0.0221,0.0155,0.0241,0.0156,0.0071,0.0891,0.0325,0.0559,0.0372,0.09015,0.0717,0.065,0.2537,0.0264,0.0981,0.0716,0.0774,0.0311,0.0309,0.0607,0.0542,0.0842,0.122
chr5:123088396,0.0699,0.1288,0.1572,0.0829,0.1467,0.0522,0.0479,0.10800000000000001,0.1514,0.099,0.0809,0.26595,0.1006,0.1402,0.1793,0.0464,0.1014,0.1081,0.1381,0.1118,0.09699999999999999,0.1387,0.1331,0.1088,0.2049
chr10:75404389,0.0143,0.0416,0.0526,0.0231,0.0912,0.0133,0.0061,0.2834,0.0737,0.0117,0.0166,0.045275,0.0069,0.0053,0.3498,0.0041,0.1762,0.1073,0.2267,0.0531,0.1331,0.026000000000000002,0.0631,0.0862,0.161
chr1:155062899,0.0131,0.0191,0.0175,0.0131,0.0154,0.0183,0.0024,0.29100000000000004,0.1206,0.0238,0.0265,0.00765,0.0241,0.0204,0.198,0.0181,0.1739,0.0738,0.0878,0.0335,0.055999999999999994,0.0308,0.0251,0.0532,0.1031
chr1:155062912,0.0114,0.011000000000000001,0.0134,0.0103,0.0108,0.0152,0.0107,0.3419,0.2236,0.0134,0.0215,0.002825,0.0238,0.02,0.3603,0.009000000000000001,0.2319,0.1047,0.1511,0.0779,0.0962,0.0633,0.0688,0.0849,0.1688
chr22:21953023,0.0448,0.0648,0.0558,0.0518,0.0458,0.0511,0.0233,0.0279,0.0535,0.0604,0.0393,0.047375,0.0639,0.0535,0.2082,0.0579,0.0426,0.0256,0.026000000000000002,0.0267,0.0237,0.0224,0.0554,0.027000000000000003,0.0434
chr11:63938288,0.0115,0.0149,0.0293,0.0142,0.0226,0.0133,0.0046,0.0719,0.1874,0.0262,0.0238,0.015325,0.0173,0.0151,0.1808,0.0124,0.049,0.0571,0.0341,0.0297,0.0403,0.0239,0.0381,0.040999999999999995,0.1102
chr4:118278491,0.0098,0.0114,0.018000000000000002,0.0074,0.008,0.0082,0.0037,0.0119,0.0165,0.0068,0.0111,0.009775,0.0103,0.0135,0.1111,0.2572,0.0111,0.0119,0.0108,0.0134,0.016,0.0128,0.017,0.0164,0.0457
chr4:118278466,0.0492,0.0456,0.055999999999999994,0.0482,0.0448,0.0443,0.0213,0.0626,0.0685,0.0522,0.0529,0.08715,0.0487,0.0397,0.1001,0.2314,0.0634,0.0521,0.0673,0.0658,0.0586,0.0718,0.0724,0.0595,0.1163
chr2:165794789,0.0048,0.0037,0.0062,0.0036,0.0045,0.0038,0.0024,0.0309,0.114,0.1097,0.008,0.00735,0.0047,0.0055,0.1132,0.0037,0.051,0.0159,0.0294,0.0177,0.0271,0.013999999999999999,0.0119,0.0381,0.055
chr2:165794810,0.0592,0.0535,0.0552,0.0493,0.047,0.0498,0.0376,0.0888,0.2431,0.35,0.0589,0.061275,0.0446,0.0491,0.272,0.040999999999999995,0.1499,0.0735,0.1219,0.1004,0.1027,0.0811,0.0842,0.11199999999999999,0.1723
chr7:77415556,0.0128,0.0139,0.0885,0.0153,0.0903,0.0146,0.0138,0.0895,0.040999999999999995,0.0176,0.0135,0.026075,0.0196,0.0134,0.2126,0.01,0.061,0.0641,0.0538,0.0896,0.0755,0.047,0.053,0.0762,0.10400000000000001
chr12:53956425,0.0633,0.1483,0.0954,0.0539,0.1232,0.0719,0.025,0.1299,0.0443,0.0547,0.0412,0.026975,0.0711,0.0853,0.4322,0.214,0.0224,0.305,0.0697,0.0228,0.1491,0.256,0.0193,0.0619,0.106
chr18:22165497,0.0435,0.1136,0.0628,0.0523,0.0628,0.0502,0.0135,0.1836,0.0563,0.0354,0.0829,0.0392,0.0652,0.0506,0.3343,0.0824,0.111,0.0756,0.1492,0.0241,0.0721,0.0899,0.0168,0.0424,0.1747
chr12:53952078,0.0096,0.1082,0.0248,0.0104,0.0368,0.006999999999999999,0.005,0.0965,0.0239,0.0509,0.0879,0.04095,0.0963,0.0896,0.4409,0.5267,0.0241,0.2556,0.1634,0.0807,0.0974,0.1504,0.0415,0.1513,0.1369
chr9:124013901,0.0226,0.0901,0.0492,0.0261,0.0586,0.0187,0.0114,0.0422,0.3746,0.0465,0.0342,0.037625,0.05,0.0462,0.4218,0.2022,0.1336,0.0676,0.1719,0.1797,0.0651,0.3052,0.0567,0.0576,0.0836
chr16:88430669,0.0285,0.0411,0.04,0.0397,0.0343,0.0409,0.0078,0.027999999999999997,0.4506,0.0567,0.0366,0.03135,0.0717,0.0518,0.4722,0.2107,0.1878,0.2566,0.5439,0.0257,0.0278,0.0481,0.0377,0.013000000000000001,0.1914
chr12:53961303,0.0202,0.1172,0.0397,0.024,0.0594,0.0195,0.0155,0.0739,0.0251,0.0251,0.0281,0.032875,0.0269,0.0397,0.4648,0.3343,0.0188,0.4426,0.1384,0.0719,0.2525,0.2853,0.027000000000000003,0.1103,0.2403
chr10:117534456,0.0109,0.0788,0.0207,0.0141,0.0564,0.0081,0.003,0.1425,0.0622,0.0055,0.0241,0.0082,0.013000000000000001,0.0118,0.1813,0.0442,0.018000000000000002,0.045,0.0843,0.0429,0.1461,0.0186,0.0093,0.0274,0.0876
chr7:27202425,0.0329,0.0759,0.0372,0.0259,0.0354,0.0361,0.0134,0.2175,0.0382,0.047,0.0481,0.038075,0.0663,0.0391,0.2474,0.032,0.0296,0.0575,0.1171,0.0473,0.044000000000000004,0.1033,0.0214,0.0541,0.0866
chr7:27202386,0.0315,0.0524,0.0352,0.032,0.0387,0.0282,0.0182,0.16699999999999998,0.0472,0.0375,0.0321,0.03315,0.0625,0.027999999999999997,0.1967,0.0216,0.0394,0.0448,0.0855,0.0461,0.0376,0.0781,0.0332,0.0458,0.0857
chr4:4856871,0.0118,0.0644,0.0125,0.006999999999999999,0.0142,0.0064,0.0176,0.0603,0.0133,0.0115,0.0106,0.0346,0.0301,0.0108,0.1465,0.0132,0.0427,0.0551,0.1057,0.0249,0.0223,0.0348,0.043,0.0351,0.1167
chr16:88430599,0.0124,0.0093,0.0118,0.0084,0.012,0.0106,0.013000000000000001,0.0653,0.3325,0.0514,0.0128,0.046725,0.0432,0.0318,0.3909,0.1315,0.1859,0.2992,0.3929,0.0521,0.046,0.0731,0.0593,0.0366,0.1954
chr12:49089933,0.0122,0.0147,0.0136,0.0104,0.013999999999999999,0.0128,0.0033,0.0341,0.0587,0.0121,0.0124,0.04345,0.0295,0.0116,0.1529,0.0136,0.1073,0.0502,0.0319,0.0444,0.0311,0.03,0.0428,0.1123,0.08900000000000001
chr4:4867364,0.0092,0.0963,0.026000000000000002,0.0089,0.0469,0.0093,0.0369,0.1366,0.024,0.0304,0.0246,0.065175,0.0354,0.0475,0.32799999999999996,0.0667,0.0741,0.1349,0.2639,0.0917,0.0566,0.1684,0.0835,0.0718,0.1967
chr11:30586651,0.0335,0.0519,0.0527,0.0391,0.07200000000000001,0.0297,0.015,0.1704,0.1804,0.0327,0.0996,0.053875,0.0475,0.0283,0.4226,0.032,0.1134,0.1385,0.1321,0.1634,0.1579,0.0955,0.087,0.2188,0.285
chr11:30586618,0.0487,0.0698,0.07200000000000001,0.0558,0.0965,0.0435,0.0482,0.1071,0.1064,0.0497,0.1071,0.08365,0.0643,0.0503,0.1866,0.0429,0.0985,0.1118,0.1221,0.1231,0.1072,0.0952,0.1015,0.1731,0.1776
chr2:118833568,0.0886,0.1216,0.1009,0.0942,0.1095,0.0943,0.0488,0.3021,0.1327,0.0703,0.0659,0.0532,0.1989,0.0833,0.4582,0.3058,0.0547,0.0717,0.2765,0.0459,0.0277,0.0491,0.032,0.0567,0.0586
chr19:40606473,0.0184,0.0225,0.0479,0.0293,0.0983,0.0272,0.0095,0.0511,0.4453,0.0231,0.0252,0.02385,0.0347,0.0164,0.345,0.0288,0.2204,0.153,0.0457,0.0638,0.0742,0.0322,0.0553,0.0525,0.3258
chr1:212433414,0.0533,0.063,0.0623,0.1951,0.0538,0.0556,0.0388,0.049,0.0531,0.0957,0.0556,0.07725,0.0714,0.0517,0.3203,0.059000000000000004,0.0466,0.0669,0.08900000000000001,0.1045,0.0728,0.0837,0.1338,0.0956,0.0682
chr17:8073138,0.0272,0.0515,0.0541,0.0348,0.0635,0.0298,0.0202,0.0634,0.09300000000000001,0.0551,0.0326,0.044075,0.0588,0.057,0.3988,0.8702,0.0276,0.0865,0.0491,0.0333,0.0235,0.3424,0.0166,0.0444,0.0635
chr6:44313451,0.0177,0.0546,0.0294,0.016,0.019,0.0165,0.0037,0.0179,0.0444,0.0108,0.035,0.0848,0.0386,0.0281,0.3258,0.0329,0.0207,0.0859,0.0695,0.0792,0.1271,0.0781,0.203,0.0531,0.1019
chr6:44313447,0.0299,0.0688,0.0464,0.0355,0.0394,0.0326,0.0251,0.062,0.0549,0.0454,0.0446,0.120325,0.051,0.0504,0.2972,0.0436,0.0706,0.1044,0.0845,0.0875,0.1211,0.0876,0.1989,0.0749,0.1247
chr6:44313460,0.0859,0.1888,0.1123,0.0772,0.0999,0.0754,0.0602,0.1119,0.1141,0.0697,0.1526,0.17555,0.0919,0.1014,0.3151,0.0754,0.1074,0.1808,0.1627,0.1918,0.1882,0.1885,0.2818,0.1428,0.2156
chr17:51122020,0.0264,0.036000000000000004,0.0366,0.0706,0.0559,0.0222,0.0169,0.0571,0.2655,0.0317,0.0328,0.032825,0.0336,0.0343,0.2451,0.0408,0.1677,0.0719,0.0472,0.0344,0.0462,0.0332,0.0603,0.0334,0.1214
chr17:76523354,0.0617,0.0556,0.0741,0.0611,0.0657,0.0606,0.0606,0.0881,0.0941,0.1044,0.0633,0.087625,0.0564,0.053,0.3378,0.0537,0.1697,0.1042,0.0903,0.0872,0.0761,0.0789,0.1008,0.0781,0.1347
chr7:27185504,0.0312,0.1938,0.0343,0.0366,0.0562,0.0165,0.0061,0.26899999999999996,0.0218,0.0265,0.0517,0.023975,0.0319,0.019,0.3333,0.0172,0.013000000000000001,0.1466,0.3219,0.1524,0.1429,0.0666,0.0325,0.1421,0.1073
chr7:27185459,0.0428,0.2458,0.0968,0.0543,0.1482,0.0293,0.033,0.2526,0.1258,0.2217,0.3338,0.253275,0.3246,0.3074,0.36200000000000004,0.0186,0.1266,0.2013,0.5039,0.3686,0.3236,0.0926,0.2609,0.4419,0.2935
chr7:27185508,0.1692,0.3569,0.2191,0.1886,0.2661,0.1415,0.1451,0.3582,0.2279,0.2851,0.3357,0.2164,0.2736,0.22899999999999998,0.3593,0.08900000000000001,0.1925,0.2565,0.4217,0.3841,0.2934,0.1891,0.2533,0.3807,0.2767
chr7:27185524,0.087,0.1565,0.0996,0.1075,0.1195,0.0883,0.0949,0.3266,0.1171,0.1246,0.1222,0.1184,0.1852,0.12,0.2841,0.0514,0.0976,0.1366,0.3178,0.1703,0.1698,0.0844,0.1142,0.1614,0.1465
chr7:27202425,0.0329,0.0759,0.0372,0.0259,0.0354,0.0361,0.0134,0.2175,0.0382,0.047,0.0481,0.038075,0.0663,0.0391,0.2474,0.032,0.0296,0.0575,0.1171,0.0473,0.044000000000000004,0.1033,0.0214,0.0541,0.0866
chr7:27202386,0.0315,0.0524,0.0352,0.032,0.0387,0.0282,0.0182,0.16699999999999998,0.0472,0.0375,0.0321,0.03315,0.0625,0.027999999999999997,0.1967,0.0216,0.0394,0.0448,0.0855,0.0461,0.0376,0.0781,0.0332,0.0458,0.0857
chr4:76898381,0.0123,0.0303,0.0155,0.0121,0.0186,0.0154,0.016,0.0379,0.2648,0.0185,0.0149,0.0154,0.0256,0.0142,0.3842,0.0299,0.1263,0.0292,0.0362,0.0524,0.0331,0.0305,0.0128,0.0709,0.0749
chr4:76898421,0.0469,0.059000000000000004,0.043,0.0462,0.0529,0.0433,0.026000000000000002,0.0883,0.223,0.0396,0.0449,0.063975,0.0467,0.037000000000000005,0.2841,0.0316,0.1352,0.0716,0.0883,0.0937,0.0669,0.0715,0.0614,0.0895,0.1114
chr7:97117486,0.0547,0.083,0.0621,0.0509,0.0554,0.0651,0.0221,0.027000000000000003,0.0628,0.0737,0.0754,0.116225,0.0687,0.1098,0.2968,0.11199999999999999,0.0335,0.0558,0.0706,0.1058,0.1106,0.068,0.1091,0.0612,0.1132
chr12:53952371,0.0392,0.0746,0.051,0.0418,0.0562,0.0363,0.0232,0.1929,0.0456,0.0421,0.0685,0.0827,0.1244,0.1064,0.3541,0.0756,0.054000000000000006,0.2394,0.2016,0.0438,0.1352,0.094,0.0713,0.0609,0.1521
chr6:32087697,0.0529,0.1016,0.0472,0.0533,0.077,0.0482,0.021,0.2891,0.1621,0.1143,0.1552,0.063225,0.1539,0.0476,0.2327,0.0578,0.1368,0.0964,0.1385,0.1233,0.0447,0.077,0.1121,0.0311,0.0453
chr6:32087740,0.0077,0.0147,0.0082,0.0098,0.0114,0.0074,0.0028,0.1218,0.0917,0.1024,0.02,0.0058,0.0137,0.0078,0.1132,0.0231,0.0704,0.0148,0.0681,0.0287,0.0057,0.0154,0.0087,0.0057,0.0097
chr6:32087748,0.013999999999999999,0.0206,0.0204,0.0188,0.03,0.0134,0.0089,0.1263,0.1252,0.0473,0.0532,0.024325,0.0432,0.0223,0.1451,0.0308,0.0932,0.0622,0.1197,0.0556,0.018000000000000002,0.0417,0.0297,0.0188,0.0301
chr6:32087757,0.0844,0.0879,0.0871,0.0815,0.1003,0.0802,0.0563,0.3624,0.2383,0.1704,0.1844,0.14275,0.1674,0.1149,0.3093,0.0862,0.2234,0.1702,0.3,0.1967,0.1075,0.1791,0.1377,0.1129,0.1424
chr8:2001946,0.019,0.1852,0.0249,0.0194,0.0405,0.0096,0.0019,0.0027,0.0087,0.0133,0.0398,0.0558,0.1054,0.0186,0.2106,0.0017,0.0005,0.2314,0.0956,0.1126,0.0348,0.0527,0.0644,0.0925,0.0416
chr10:91220182,0.0326,0.0308,0.0603,0.0461,0.085,0.0313,0.026000000000000002,0.0791,0.0595,0.0279,0.023,0.0468,0.0373,0.0163,0.2008,0.0197,0.0671,0.0403,0.1055,0.0601,0.0636,0.0473,0.0553,0.07,0.0843
chr12:53951895,0.0653,0.14400000000000002,0.0901,0.0742,0.1096,0.0654,0.0528,0.1226,0.0725,0.0893,0.086,0.072775,0.1197,0.1069,0.4155,0.3337,0.0667,0.1596,0.1444,0.0823,0.0892,0.1178,0.0573,0.0993,0.0934
